Date,Open,High,Low,Close,Adj Close,Volume,company_name,RSI,buy_signal,sell_signal,signal
12/12/2023,370.8500061,374.4200134,370.4599915,374.3800049,373.6889648,24838300,MICROSOFT,41.52915842,0,0,0
12/13/2023,376.019989,377.6400146,370.769989,374.3699951,373.6789551,30955500,MICROSOFT,47.41224679,0,0,0
12/14/2023,373.3099976,373.7600098,364.1300049,365.9299927,365.2545471,43277500,MICROSOFT,53.22950557,0,0,0
12/15/2023,366.8500061,372.3999939,366.2799988,370.730011,370.0457153,78478200,MICROSOFT,61.29921934,0,0,0
12/18/2023,369.4500122,373,368.6799927,372.6499939,371.9621277,21802900,MICROSOFT,65.73866027,0,0,0
12/19/2023,371.4899902,373.2600098,369.8399963,373.2600098,372.5710449,20603700,MICROSOFT,74.01666644,0,-1,0
12/20/2023,375,376.0299988,370.5299988,370.6199951,369.9358826,26316700,MICROSOFT,72.18204346,0,-1,0
12/21/2023,372.5599976,374.4100037,370.0400085,373.5400085,372.8505249,17708000,MICROSOFT,70.91516938,0,-1,0
12/22/2023,373.6799927,375.1799927,372.7099915,374.5799866,373.8885803,17091100,MICROSOFT,58.289391,0,0,0
12/26/2023,375,376.9400024,373.5,374.6600037,373.9684448,12673100,MICROSOFT,63.74114264,0,0,0
12/27/2023,373.6900024,375.0599976,372.8099976,374.0700073,373.3795471,14905400,MICROSOFT,66.15689135,0,0,0
12/28/2023,375.3699951,376.4599915,374.1600037,375.2799988,374.5872803,14327000,MICROSOFT,72.73338261,0,-1,0
12/29/2023,376,377.1600037,373.480011,376.0400085,375.3458862,18723000,MICROSOFT,62.13471563,0,0,0
1/2/2024,373.8599854,375.8999939,366.769989,370.8699951,370.1854248,25258600,MICROSOFT,62.58257146,0,0,0
1/3/2024,369.0100098,373.2600098,368.5100098,370.6000061,369.9159241,23083500,MICROSOFT,67.46734703,0,0,0
1/4/2024,370.6700134,373.1000061,367.1700134,367.9400024,367.2608337,20901500,MICROSOFT,65.05886139,0,0,0
1/5/2024,368.9700012,372.0599976,366.5,367.75,367.0711975,20987000,MICROSOFT,65.69380785,0,0,0
1/8/2024,369.2999878,375.2000122,369.0100098,374.6900024,373.9983826,23134000,MICROSOFT,61.98442384,0,0,0
1/9/2024,372.0100098,375.9899902,371.1900024,375.7900085,375.0963745,20830000,MICROSOFT,58.04748331,0,0,0
1/10/2024,376.3699951,384.1700134,376.3200073,382.769989,382.063446,25514200,MICROSOFT,54.72221133,0,0,0
1/11/2024,386,390.6799927,380.3800049,384.6300049,383.9200439,27850800,MICROSOFT,50.22592609,0,0,0
1/12/2024,385.4899902,388.6799927,384.6499939,388.4700012,387.7529602,21645700,MICROSOFT,60.95001511,0,0,0
1/16/2024,393.6600037,394.0299988,387.6199951,390.269989,389.5496216,27202300,MICROSOFT,67.57748855,0,0,0
1/17/2024,387.980011,390.1099854,384.8099976,389.4700012,388.7510986,22234100,MICROSOFT,67.89864758,0,0,0
1/18/2024,391.7200012,393.9899902,390.1199951,393.8699951,393.1429749,23392100,MICROSOFT,74.59544475,0,-1,0
1/19/2024,395.7600098,398.6700134,393.5,398.6700134,397.9341431,29272000,MICROSOFT,75.73414672,0,-1,0
1/22/2024,400.019989,400.6199951,393.5899963,396.5100098,395.7781067,27016900,MICROSOFT,88.27282229,0,-1,0
1/23/2024,395.75,399.3800049,393.9299927,398.8999939,398.1636963,20525900,MICROSOFT,91.24745943,0,-1,0
1/24/2024,401.5400085,405.6300049,400.4500122,402.5599976,401.816925,24867000,MICROSOFT,90.2191981,0,-1,0
1/25/2024,404.3200073,407.0100098,402.5299988,404.8699951,404.1226807,21021200,MICROSOFT,79.88605034,0,-1,0
1/26/2024,404.3699951,406.1700134,402.4299927,403.9299927,403.1844177,17803300,MICROSOFT,46.37155265,0,0,0
1/29/2024,406.0599976,409.980011,404.3299866,409.7200012,408.9637146,24510200,MICROSOFT,48.30629573,0,0,0
1/30/2024,412.2600098,413.0499878,406.4500122,408.5899963,407.8358154,33477600,MICROSOFT,48.77620139,0,0,0
1/31/2024,406.9599915,415.3200073,397.2099915,397.5799866,396.8461304,47871100,MICROSOFT,51.42472622,0,0,0
2/1/2024,401.8299866,408,401.7999878,403.7799988,403.0346985,30657700,MICROSOFT,54.32693341,0,0,0
2/2/2024,403.8099976,412.6499939,403.5599976,411.2200012,410.460968,28245000,MICROSOFT,52.98690245,0,0,0
2/5/2024,409.8999939,411.1600037,403.9899902,405.6499939,404.9012451,25352300,MICROSOFT,48.54932165,0,0,0
2/6/2024,405.8800049,407.9700012,402.9100037,405.4899902,404.7415161,18382600,MICROSOFT,54.38964003,0,0,0
2/7/2024,407.4400024,414.2999878,407.3999939,414.0499878,413.2857056,22340500,MICROSOFT,50.08588638,0,0,0
2/8/2024,414.0499878,415.5599976,412.5299988,414.1099854,413.3456116,21225300,MICROSOFT,43.32212648,0,0,0
2/9/2024,415.25,420.8200073,415.0899963,420.5499878,419.7737122,22032800,MICROSOFT,38.08650973,0,0,0
2/12/2024,420.5599976,420.7399902,414.75,415.2600098,414.4934998,21202900,MICROSOFT,33.76196794,0,0,0
2/13/2024,404.9400024,410.0700073,403.3900146,406.3200073,405.5700073,27824900,MICROSOFT,29.21169892,1,0,1
2/14/2024,408.0700073,409.8399963,404.5700073,409.4899902,409.4899902,20401200,MICROSOFT,,0,0,0
2/15/2024,408.1400146,409.1300049,404.2900085,406.5599976,406.5599976,21825500,MICROSOFT,,0,0,0
2/16/2024,407.9599915,408.2900085,403.4400024,404.0599976,404.0599976,22281100,MICROSOFT,,0,0,0
2/21/2023,95.33999634,95.61000061,94.26999664,94.58000183,94.58000183,56580400,AMAZON,,0,0,0
2/22/2023,95.09999847,97.01000214,94.80000305,95.79000092,95.79000092,59534100,AMAZON,,0,0,0
2/23/2023,96.12000275,96.43000031,93.66999817,95.81999969,95.81999969,48467000,AMAZON,,0,0,0
2/24/2023,93.52999878,94.13999939,92.31999969,93.5,93.5,57053800,AMAZON,,0,0,0
2/27/2023,94.27999878,94.77999878,93.13999939,93.76000214,93.76000214,47470300,AMAZON,,0,0,0
2/28/2023,93.13999939,94.69000244,92.91999817,94.23000336,94.23000336,43959300,AMAZON,,0,0,0
3/1/2023,93.87000275,94.68000031,91.58999634,92.16999817,92.16999817,52299500,AMAZON,,0,0,0
3/2/2023,91.41000366,92.23000336,90.38999939,92.12999725,92.12999725,55509400,AMAZON,,0,0,0
